gameid,Down,ToGo,RushAtt,RushYds,PassTgt,PassCmp,PassYds,Converted,back,layerkey
201309080nyj,1,175.0,14.0,33.0,3.0,0.0,0.0,1.0,dm,1dm
201309080nyj,2,88.0,10.0,35.0,0.0,0.0,0.0,1.0,dm,2dm
201309080nyj,3,58.0,1.0,0.0,3.0,2.0,-1.0,0.0,dm,3dm
201309080nyj,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201309150tam,1,190.0,17.0,69.0,1.0,0.0,0.0,1.0,dm,1dm
201309150tam,2,68.0,9.0,59.0,0.0,0.0,0.0,3.0,dm,2dm
201309150tam,3,14.0,3.0,16.0,1.0,1.0,4.0,3.0,dm,3dm
201309150tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201309220nwe,1,140.0,12.0,56.0,3.0,1.0,7.0,1.0,dm,1dm
201309220nwe,2,62.0,8.0,33.0,1.0,0.0,0.0,2.0,dm,2dm
201309220nwe,3,24.0,0.0,0.0,2.0,1.0,13.0,0.0,dm,3dm
201309220nwe,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201309290tam,1,165.0,16.0,22.0,0.0,0.0,0.0,0.0,dm,1dm
201309290tam,2,88.0,8.0,28.0,2.0,2.0,16.0,1.0,dm,2dm
201309290tam,3,24.0,2.0,0.0,2.0,1.0,0.0,1.0,dm,3dm
201309290tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201310130tam,1,139.0,13.0,72.0,0.0,0.0,0.0,2.0,dm,1dm
201310130tam,2,54.0,4.0,14.0,2.0,2.0,16.0,2.0,dm,2dm
201310130tam,3,42.0,1.0,1.0,2.0,2.0,8.0,0.0,dm,3dm
201310130tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201310200atl,1,70.0,6.0,18.0,1.0,1.0,7.0,0.0,dm,1dm
201310200atl,2,59.0,6.0,30.0,2.0,0.0,0.0,1.0,dm,2dm
201310200atl,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,3dm
201310200atl,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,dm,4dm
201209090tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201209090tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201209090tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201209090tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201209160nyg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201209160nyg,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201209160nyg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201209160nyg,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201209230dal,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201209230dal,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201209230dal,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201209230dal,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201209300tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201209300tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201209300tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201209300tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201210140tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201210140tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201210140tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201210140tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201210210tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201210210tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201210210tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201210210tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201210250min,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201210250min,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201210250min,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201210250min,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201211040rai,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201211040rai,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201211040rai,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201211040rai,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201211110tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201211110tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201211110tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201211110tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201211180car,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201211180car,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201211180car,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201211180car,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201211250tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201211250tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201211250tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201211250tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201212020den,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201212020den,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201212020den,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201212020den,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201212090tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201212090tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201212090tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201212090tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201212160nor,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201212160nor,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201212160nor,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201212160nor,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201212230tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201212230tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201212230tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201212230tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201212300atl,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201212300atl,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201212300atl,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201212300atl,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201309080nyj,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201309080nyj,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201309080nyj,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201309080nyj,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201309150tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201309150tam,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,2mj
201309150tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201309150tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201309220nwe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201309220nwe,2,10.0,1.0,5.0,0.0,0.0,0.0,0.0,mj,2mj
201309220nwe,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201309220nwe,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201309290tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201309290tam,2,8.0,0.0,0.0,1.0,1.0,2.0,0.0,mj,2mj
201309290tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201309290tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201310130tam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,1mj
201310130tam,2,15.0,2.0,17.0,0.0,0.0,0.0,0.0,mj,2mj
201310130tam,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,3mj
201310130tam,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mj,4mj
201310200atl,1,81.0,6.0,15.0,1.0,1.0,-5.0,0.0,mj,1mj
201310200atl,2,62.0,6.0,27.0,2.0,2.0,13.0,1.0,mj,2mj
201310200atl,3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,mj,3mj
201310200atl,4,1.0,1.0,2.0,0.0,0.0,0.0,1.0,mj,4mj
