pname,year,epa,wpa,asst,ff,g,int,pd,qbhit,rank,sc,sk,skyd,tf,team,tkl,tklloss,probowl,firstteam,secondteam
J.Brinkley,2013,9.7,0.26,3,0,5,0,1,2,82,18,0,0,0.79,ARZ,19,4,0.0,0.0,0.0
J.Jones,2013,11.7,0.26,0,0,5,0,0,2,83,11,0,0,0.47,PIT,15,2,0.0,0.0,0.0
D.Butler,2013,7.5,0.26,6,0,4,0,0,1,84,12,1,6,1.35,SD,25,0,0.0,0.0,0.0
B.Bird,2013,5.8,0.25,8,0,5,0,0,0,85,10,0,0,0.63,SD,10,0,0.0,0.0,0.0
N.Roach,2013,8.4,0.25,15,1,5,0,0,1,86,16,1,10,1.41,OAK,29,4,0.0,0.0,0.0
K.Misi,2013,5.9,0.24,8,0,6,0,1,2,87,11,1,11,0.64,MIA,16,3,0.0,0.0,0.0
R.Maualuga,2013,6.5,0.22,16,0,7,0,0,0,88,21,0,0,1.08,CIN,33,0,0.0,0.0,0.0
W.Mercilus,2013,9.5,0.2,7,0,7,0,0,8,89,17,5,24,0.69,HST,20,3,0.0,0.0,0.0
L.Fletcher,2013,7.7,0.19,18,0,6,0,0,1,90,17,1,7,1.13,WAS,27,2,0.0,0.0,0.0
J.Beason,2013,7.5,0.19,9,0,4,0,0,0,91,12,0,0,1.2,NYG,23,0,0.0,0.0,0.0
C.Upshaw,2013,7.0,0.18,4,0,7,0,0,2,92,10,1,9,0.29,BLT,10,2,0.0,0.0,0.0
D.Sharpton,2013,7.4,0.18,4,0,6,0,1,0,93,9,0,0,0.63,HST,17,0,0.0,0.0,0.0
M.Wilhoite,2013,4.7,0.16,1,0,6,0,1,0,94,10,0,0,0.49,SF,16,3,0.0,0.0,0.0
J.Mays,2013,8.6,0.16,9,0,7,0,0,0,95,15,0,0,0.66,HST,17,3,0.0,0.0,0.0
M.Herzlich,2013,5.7,0.15,7,0,5,0,1,0,96,14,0,0,0.78,NYG,19,1,0.0,0.0,0.0
S.Weatherspoon,2013,4.1,0.15,2,0,2,0,0,0,97,8,0,0,0.85,ATL,8,1,0.0,0.0,0.0
E.Sims,2013,4.1,0.14,4,1,4,0,0,0,98,3,0,0,0.52,DAL,9,0,0.0,0.0,0.0
N.Irving,2013,8.8,0.14,8,0,7,0,1,0,99,17,0,0,0.55,DEN,16,5,0.0,0.0,0.0
