player,team,position,year,salary
Acie Law,ATL,1,2018,0
Acie Law,ATL,1,2017,0
Acie Law,ATL,1,2016,0
Acie Law,ATL,1,2015,0
Acie Law,ATL,1,2014,0
Acie Law,ATL,1,2013,0
Acie Law,ATL,1,2012,0
Acie Law,ATL,1,2011,0
Acie Law,ATL,1,2010,0
Acie Law,ATL,1,2009,2071680
Acie Law,ATL,1,2008,1927080
Acie Law,ATL,1,2007,0
Acie Law,ATL,1,2006,0
Acie Law,ATL,1,2005,0
Acie Law,ATL,1,2004,0
Acie Law,ATL,1,2003,0
Acie Law,ATL,1,2002,0
Acie Law,ATL,1,2001,0
Acie Law,ATL,1,2000,0
Acie Law,ATL,1,1999,0
Acie Law,ATL,1,1998,0
Al Harrington,ATL,4,2018,0
Al Harrington,ATL,4,2017,0
Al Harrington,ATL,4,2016,0
Al Harrington,ATL,4,2015,0
Al Harrington,ATL,4,2014,0
Al Harrington,ATL,4,2013,0
Al Harrington,ATL,4,2012,0
Al Harrington,ATL,4,2011,0
Al Harrington,ATL,4,2010,0
Al Harrington,ATL,4,2009,0
Al Harrington,ATL,4,2008,0
Al Harrington,ATL,4,2007,0
Al Harrington,ATL,4,2006,6957500
Al Harrington,ATL,4,2005,6325000
Al Harrington,ATL,4,2004,0
Al Harrington,ATL,4,2003,0
Al Harrington,ATL,4,2002,0
Al Harrington,ATL,4,2001,0
Al Harrington,ATL,4,2000,0
Al Harrington,ATL,4,1999,0
Al Harrington,ATL,4,1998,0
Al Horford,ATL,5,2018,0
Al Horford,ATL,5,2017,0
Al Horford,ATL,5,2016,12000000
Al Horford,ATL,5,2015,12000000
Al Horford,ATL,5,2014,12000000
Al Horford,ATL,5,2013,12000000
Al Horford,ATL,5,2012,12000000
Al Horford,ATL,5,2011,5444857
Al Horford,ATL,5,2010,4307640
Al Horford,ATL,5,2009,4026720
Al Horford,ATL,5,2008,3745800
Al Horford,ATL,5,2007,0
Al Horford,ATL,5,2006,0
Al Horford,ATL,5,2005,0
Al Horford,ATL,5,2004,0
Al Horford,ATL,5,2003,0
Al Horford,ATL,5,2002,0
Al Horford,ATL,5,2001,0
Al Horford,ATL,5,2000,0
Al Horford,ATL,5,1999,0
Al Horford,ATL,5,1998,0
Alan Henderson,ATL,4,2018,0
Alan Henderson,ATL,4,2017,0
Alan Henderson,ATL,4,2016,0
Alan Henderson,ATL,4,2015,0
Alan Henderson,ATL,4,2014,0
Alan Henderson,ATL,4,2013,0
Alan Henderson,ATL,4,2012,0
Alan Henderson,ATL,4,2011,0
Alan Henderson,ATL,4,2010,0
Alan Henderson,ATL,4,2009,0
Alan Henderson,ATL,4,2008,0
Alan Henderson,ATL,4,2007,0
Alan Henderson,ATL,4,2006,0
Alan Henderson,ATL,4,2005,0
Alan Henderson,ATL,4,2004,7682188
Alan Henderson,ATL,4,2003,7091250
Alan Henderson,ATL,4,2002,6500312
Alan Henderson,ATL,4,2001,5910000
Alan Henderson,ATL,4,2000,5318437
Alan Henderson,ATL,4,1999,4725000
Alan Henderson,ATL,4,1998,1028400
Anthony Johnson,ATL,1,2018,0
Anthony Johnson,ATL,1,2017,0
Anthony Johnson,ATL,1,2016,0
Anthony Johnson,ATL,1,2015,0
Anthony Johnson,ATL,1,2014,0
Anthony Johnson,ATL,1,2013,0
Anthony Johnson,ATL,1,2012,0
Anthony Johnson,ATL,1,2011,0
Anthony Johnson,ATL,1,2010,0
Anthony Johnson,ATL,1,2009,0
Anthony Johnson,ATL,1,2008,0
Anthony Johnson,ATL,1,2007,2640000
Anthony Johnson,ATL,1,2006,0
Anthony Johnson,ATL,1,2005,0
Anthony Johnson,ATL,1,2004,0
Anthony Johnson,ATL,1,2003,0
Anthony Johnson,ATL,1,2002,0
Anthony Johnson,ATL,1,2001,1200000
Anthony Johnson,ATL,1,2000,0
Anthony Johnson,ATL,1,1999,1000000
Anthony Johnson,ATL,1,1998,0
Anthony Tolliver,ATL,3,2018,0
Anthony Tolliver,ATL,3,2017,0
Anthony Tolliver,ATL,3,2016,0
Anthony Tolliver,ATL,3,2015,0
Anthony Tolliver,ATL,3,2014,0
Anthony Tolliver,ATL,3,2013,915852
Anthony Tolliver,ATL,3,2012,0
Anthony Tolliver,ATL,3,2011,0
Anthony Tolliver,ATL,3,2010,0
Anthony Tolliver,ATL,3,2009,0
Anthony Tolliver,ATL,3,2008,0
Anthony Tolliver,ATL,3,2007,0
Anthony Tolliver,ATL,3,2006,0
Anthony Tolliver,ATL,3,2005,0
Anthony Tolliver,ATL,3,2004,0
Anthony Tolliver,ATL,3,2003,0
Anthony Tolliver,ATL,3,2002,0
Anthony Tolliver,ATL,3,2001,0
Anthony Tolliver,ATL,3,2000,0
Anthony Tolliver,ATL,3,1999,0
Anthony Tolliver,ATL,3,1998,0
Antoine Walker,ATL,4,2018,0
Antoine Walker,ATL,4,2017,0
Antoine Walker,ATL,4,2016,0
Antoine Walker,ATL,4,2015,0
Antoine Walker,ATL,4,2014,0
Antoine Walker,ATL,4,2013,0
Antoine Walker,ATL,4,2012,0
Antoine Walker,ATL,4,2011,0
Antoine Walker,ATL,4,2010,0
Antoine Walker,ATL,4,2009,0
Antoine Walker,ATL,4,2008,0
Antoine Walker,ATL,4,2007,0
Antoine Walker,ATL,4,2006,0
Antoine Walker,ATL,4,2005,14625000
Antoine Walker,ATL,4,2004,0
Antoine Walker,ATL,4,2003,0
Antoine Walker,ATL,4,2002,0
Antoine Walker,ATL,4,2001,0
Antoine Walker,ATL,4,2000,0
Antoine Walker,ATL,4,1999,0
Antoine Walker,ATL,4,1998,0
Bimbo Coles,ATL,1,2018,0
Bimbo Coles,ATL,1,2017,0
Bimbo Coles,ATL,1,2016,0
Bimbo Coles,ATL,1,2015,0
Bimbo Coles,ATL,1,2014,0
Bimbo Coles,ATL,1,2013,0
Bimbo Coles,ATL,1,2012,0
Bimbo Coles,ATL,1,2011,0
Bimbo Coles,ATL,1,2010,0
Bimbo Coles,ATL,1,2009,0
Bimbo Coles,ATL,1,2008,0
Bimbo Coles,ATL,1,2007,0
Bimbo Coles,ATL,1,2006,0
Bimbo Coles,ATL,1,2005,0
Bimbo Coles,ATL,1,2004,0
Bimbo Coles,ATL,1,2003,0
Bimbo Coles,ATL,1,2002,0
Bimbo Coles,ATL,1,2001,0
Bimbo Coles,ATL,1,2000,2300000
Bimbo Coles,ATL,1,1999,0
Bimbo Coles,ATL,1,1998,0
Boris Diaw,ATL,4,2018,0
Boris Diaw,ATL,4,2017,0
Boris Diaw,ATL,4,2016,0
Boris Diaw,ATL,4,2015,0
Boris Diaw,ATL,4,2014,0
Boris Diaw,ATL,4,2013,0
Boris Diaw,ATL,4,2012,0
Boris Diaw,ATL,4,2011,0
Boris Diaw,ATL,4,2010,0
Boris Diaw,ATL,4,2009,0
Boris Diaw,ATL,4,2008,0
Boris Diaw,ATL,4,2007,0
Boris Diaw,ATL,4,2006,0
Boris Diaw,ATL,4,2005,1097640
Boris Diaw,ATL,4,2004,1021080
Boris Diaw,ATL,4,2003,0
Boris Diaw,ATL,4,2002,0
Boris Diaw,ATL,4,2001,0
Boris Diaw,ATL,4,2000,0
Boris Diaw,ATL,4,1999,0
Boris Diaw,ATL,4,1998,0
Cal Bowdler,ATL,3,2018,0
Cal Bowdler,ATL,3,2017,0
Cal Bowdler,ATL,3,2016,0
Cal Bowdler,ATL,3,2015,0
Cal Bowdler,ATL,3,2014,0
Cal Bowdler,ATL,3,2013,0
Cal Bowdler,ATL,3,2012,0
Cal Bowdler,ATL,3,2011,0
Cal Bowdler,ATL,3,2010,0
Cal Bowdler,ATL,3,2009,0
Cal Bowdler,ATL,3,2008,0
Cal Bowdler,ATL,3,2007,0
Cal Bowdler,ATL,3,2006,0
Cal Bowdler,ATL,3,2005,0
Cal Bowdler,ATL,3,2004,0
Cal Bowdler,ATL,3,2003,0
Cal Bowdler,ATL,3,2002,1179720
Cal Bowdler,ATL,3,2001,1102800
Cal Bowdler,ATL,3,2000,1025880
Cal Bowdler,ATL,3,1999,0
Cal Bowdler,ATL,3,1998,0
Cedric Bozeman,ATL,2,2018,0
Cedric Bozeman,ATL,2,2017,0
Cedric Bozeman,ATL,2,2016,0
Cedric Bozeman,ATL,2,2015,0
Cedric Bozeman,ATL,2,2014,0
Cedric Bozeman,ATL,2,2013,0
Cedric Bozeman,ATL,2,2012,0
Cedric Bozeman,ATL,2,2011,0
Cedric Bozeman,ATL,2,2010,0
Cedric Bozeman,ATL,2,2009,0
Cedric Bozeman,ATL,2,2008,0
Cedric Bozeman,ATL,2,2007,412718
Cedric Bozeman,ATL,2,2006,0
Cedric Bozeman,ATL,2,2005,0
Cedric Bozeman,ATL,2,2004,0
Cedric Bozeman,ATL,2,2003,0
Cedric Bozeman,ATL,2,2002,0
Cedric Bozeman,ATL,2,2001,0
Cedric Bozeman,ATL,2,2000,0
Cedric Bozeman,ATL,2,1999,0
Cedric Bozeman,ATL,2,1998,0
Chris Crawford,ATL,4,2018,0
Chris Crawford,ATL,4,2017,0
Chris Crawford,ATL,4,2016,0
Chris Crawford,ATL,4,2015,0
Chris Crawford,ATL,4,2014,0
Chris Crawford,ATL,4,2013,0
Chris Crawford,ATL,4,2012,0
Chris Crawford,ATL,4,2011,0
Chris Crawford,ATL,4,2010,0
Chris Crawford,ATL,4,2009,0
Chris Crawford,ATL,4,2008,0
Chris Crawford,ATL,4,2007,0
Chris Crawford,ATL,4,2006,0
Chris Crawford,ATL,4,2005,3250000
Chris Crawford,ATL,4,2004,3000000
Chris Crawford,ATL,4,2003,2750000
Chris Crawford,ATL,4,2002,2500000
Chris Crawford,ATL,4,2001,2200000
Chris Crawford,ATL,4,2000,2000000
Chris Crawford,ATL,4,1999,350000
Chris Crawford,ATL,4,1998,242000
Christian Laettner,ATL,4,2018,0
Christian Laettner,ATL,4,2017,0
Christian Laettner,ATL,4,2016,0
Christian Laettner,ATL,4,2015,0
Christian Laettner,ATL,4,2014,0
Christian Laettner,ATL,4,2013,0
Christian Laettner,ATL,4,2012,0
Christian Laettner,ATL,4,2011,0
Christian Laettner,ATL,4,2010,0
Christian Laettner,ATL,4,2009,0
Christian Laettner,ATL,4,2008,0
Christian Laettner,ATL,4,2007,0
Christian Laettner,ATL,4,2006,0
Christian Laettner,ATL,4,2005,0
Christian Laettner,ATL,4,2004,0
Christian Laettner,ATL,4,2003,0
Christian Laettner,ATL,4,2002,0
Christian Laettner,ATL,4,2001,0
Christian Laettner,ATL,4,2000,0
Christian Laettner,ATL,4,1999,0
Christian Laettner,ATL,4,1998,5050000
Dahntay Jones,ATL,2,2018,0
Dahntay Jones,ATL,2,2017,0
Dahntay Jones,ATL,2,2016,0
Dahntay Jones,ATL,2,2015,0
Dahntay Jones,ATL,2,2014,0
Dahntay Jones,ATL,2,2013,2900000
Dahntay Jones,ATL,2,2012,0
Dahntay Jones,ATL,2,2011,0
Dahntay Jones,ATL,2,2010,0
Dahntay Jones,ATL,2,2009,0
Dahntay Jones,ATL,2,2008,0
Dahntay Jones,ATL,2,2007,0
Dahntay Jones,ATL,2,2006,0
Dahntay Jones,ATL,2,2005,0
Dahntay Jones,ATL,2,2004,0
Dahntay Jones,ATL,2,2003,0
Dahntay Jones,ATL,2,2002,0
Dahntay Jones,ATL,2,2001,0
Dahntay Jones,ATL,2,2000,0
Dahntay Jones,ATL,2,1999,0
Dahntay Jones,ATL,2,1998,0
Damien Wilkins,ATL,3,2018,0
Damien Wilkins,ATL,3,2017,0
Damien Wilkins,ATL,3,2016,0
Damien Wilkins,ATL,3,2015,0
Damien Wilkins,ATL,3,2014,0
Damien Wilkins,ATL,3,2013,0
Damien Wilkins,ATL,3,2012,0
Damien Wilkins,ATL,3,2011,748656
Damien Wilkins,ATL,3,2010,0
Damien Wilkins,ATL,3,2009,0
Damien Wilkins,ATL,3,2008,0
Damien Wilkins,ATL,3,2007,0
Damien Wilkins,ATL,3,2006,0
Damien Wilkins,ATL,3,2005,0
Damien Wilkins,ATL,3,2004,0
Damien Wilkins,ATL,3,2003,0
Damien Wilkins,ATL,3,2002,0
Damien Wilkins,ATL,3,2001,0
Damien Wilkins,ATL,3,2000,0
Damien Wilkins,ATL,3,1999,0
Damien Wilkins,ATL,3,1998,0
Dan Dickau,ATL,1,2018,0
Dan Dickau,ATL,1,2017,0
Dan Dickau,ATL,1,2016,0
Dan Dickau,ATL,1,2015,0
Dan Dickau,ATL,1,2014,0
Dan Dickau,ATL,1,2013,0
Dan Dickau,ATL,1,2012,0
Dan Dickau,ATL,1,2011,0
Dan Dickau,ATL,1,2010,0
Dan Dickau,ATL,1,2009,0
Dan Dickau,ATL,1,2008,0
Dan Dickau,ATL,1,2007,0
Dan Dickau,ATL,1,2006,0
Dan Dickau,ATL,1,2005,0
Dan Dickau,ATL,1,2004,835200
Dan Dickau,ATL,1,2003,776880
Dan Dickau,ATL,1,2002,0
Dan Dickau,ATL,1,2001,0
Dan Dickau,ATL,1,2000,0
Dan Dickau,ATL,1,1999,0
Dan Dickau,ATL,1,1998,0
Darvin Ham,ATL,3,2018,0
Darvin Ham,ATL,3,2017,0
Darvin Ham,ATL,3,2016,0
Darvin Ham,ATL,3,2015,0
Darvin Ham,ATL,3,2014,0
Darvin Ham,ATL,3,2013,0
Darvin Ham,ATL,3,2012,0
Darvin Ham,ATL,3,2011,0
Darvin Ham,ATL,3,2010,0
Darvin Ham,ATL,3,2009,0
Darvin Ham,ATL,3,2008,0
Darvin Ham,ATL,3,2007,0
Darvin Ham,ATL,3,2006,0
Darvin Ham,ATL,3,2005,0
Darvin Ham,ATL,3,2004,0
Darvin Ham,ATL,3,2003,699935
Darvin Ham,ATL,3,2002,0
Darvin Ham,ATL,3,2001,0
Darvin Ham,ATL,3,2000,0
Darvin Ham,ATL,3,1999,0
Darvin Ham,ATL,3,1998,0
DeMarre Carroll,ATL,3,2018,0
DeMarre Carroll,ATL,3,2017,0
DeMarre Carroll,ATL,3,2016,0
DeMarre Carroll,ATL,3,2015,2442455
DeMarre Carroll,ATL,3,2014,2557545
DeMarre Carroll,ATL,3,2013,0
DeMarre Carroll,ATL,3,2012,0
DeMarre Carroll,ATL,3,2011,0
DeMarre Carroll,ATL,3,2010,0
DeMarre Carroll,ATL,3,2009,0
DeMarre Carroll,ATL,3,2008,0
DeMarre Carroll,ATL,3,2007,0
DeMarre Carroll,ATL,3,2006,0
DeMarre Carroll,ATL,3,2005,0
DeMarre Carroll,ATL,3,2004,0
DeMarre Carroll,ATL,3,2003,0
DeMarre Carroll,ATL,3,2002,0
DeMarre Carroll,ATL,3,2001,0
DeMarre Carroll,ATL,3,2000,0
DeMarre Carroll,ATL,3,1999,0
DeMarre Carroll,ATL,3,1998,0
DeShawn Stevenson,ATL,2,2018,0
DeShawn Stevenson,ATL,2,2017,0
DeShawn Stevenson,ATL,2,2016,0
DeShawn Stevenson,ATL,2,2015,0
DeShawn Stevenson,ATL,2,2014,0
DeShawn Stevenson,ATL,2,2013,2240450
DeShawn Stevenson,ATL,2,2012,0
DeShawn Stevenson,ATL,2,2011,0
DeShawn Stevenson,ATL,2,2010,0
DeShawn Stevenson,ATL,2,2009,0
DeShawn Stevenson,ATL,2,2008,0
DeShawn Stevenson,ATL,2,2007,0
DeShawn Stevenson,ATL,2,2006,0
DeShawn Stevenson,ATL,2,2005,0
DeShawn Stevenson,ATL,2,2004,0
DeShawn Stevenson,ATL,2,2003,0
DeShawn Stevenson,ATL,2,2002,0
DeShawn Stevenson,ATL,2,2001,0
DeShawn Stevenson,ATL,2,2000,0
DeShawn Stevenson,ATL,2,1999,0
DeShawn Stevenson,ATL,2,1998,0
Dennis Schroeder,ATL,2,2018,0
Dennis Schroeder,ATL,2,2017,2708582
Dennis Schroeder,ATL,2,2016,1763400
Dennis Schroeder,ATL,2,2015,1690680
Dennis Schroeder,ATL,2,2014,1348200
Dennis Schroeder,ATL,2,2013,0
Dennis Schroeder,ATL,2,2012,0
Dennis Schroeder,ATL,2,2011,0
Dennis Schroeder,ATL,2,2010,0
Dennis Schroeder,ATL,2,2009,0
Dennis Schroeder,ATL,2,2008,0
Dennis Schroeder,ATL,2,2007,0
Dennis Schroeder,ATL,2,2006,0
Dennis Schroeder,ATL,2,2005,0
Dennis Schroeder,ATL,2,2004,0
Dennis Schroeder,ATL,2,2003,0
Dennis Schroeder,ATL,2,2002,0
Dennis Schroeder,ATL,2,2001,0
Dennis Schroeder,ATL,2,2000,0
Dennis Schroeder,ATL,2,1999,0
Dennis Schroeder,ATL,2,1998,0
DerMarr Johnson,ATL,3,2018,0
DerMarr Johnson,ATL,3,2017,0
DerMarr Johnson,ATL,3,2016,0
DerMarr Johnson,ATL,3,2015,0
DerMarr Johnson,ATL,3,2014,0
DerMarr Johnson,ATL,3,2013,0
DerMarr Johnson,ATL,3,2012,0
DerMarr Johnson,ATL,3,2011,0
DerMarr Johnson,ATL,3,2010,0
DerMarr Johnson,ATL,3,2009,0
DerMarr Johnson,ATL,3,2008,0
DerMarr Johnson,ATL,3,2007,0
DerMarr Johnson,ATL,3,2006,0
DerMarr Johnson,ATL,3,2005,0
DerMarr Johnson,ATL,3,2004,0
DerMarr Johnson,ATL,3,2003,2423280
DerMarr Johnson,ATL,3,2002,2265240
DerMarr Johnson,ATL,3,2001,2107200
DerMarr Johnson,ATL,3,2000,0
DerMarr Johnson,ATL,3,1999,0
DerMarr Johnson,ATL,3,1998,0
Devin Harris,ATL,1,2018,0
Devin Harris,ATL,1,2017,0
Devin Harris,ATL,1,2016,0
Devin Harris,ATL,1,2015,0
Devin Harris,ATL,1,2014,0
Devin Harris,ATL,1,2013,8500000
Devin Harris,ATL,1,2012,0
Devin Harris,ATL,1,2011,0
Devin Harris,ATL,1,2010,0
Devin Harris,ATL,1,2009,0
Devin Harris,ATL,1,2008,0
Devin Harris,ATL,1,2007,0
Devin Harris,ATL,1,2006,0
Devin Harris,ATL,1,2005,0
Devin Harris,ATL,1,2004,0
Devin Harris,ATL,1,2003,0
Devin Harris,ATL,1,2002,0
Devin Harris,ATL,1,2001,0
Devin Harris,ATL,1,2000,0
Devin Harris,ATL,1,1999,0
Devin Harris,ATL,1,1998,0
Dikembe Mutombo,ATL,5,2018,0
Dikembe Mutombo,ATL,5,2017,0
Dikembe Mutombo,ATL,5,2016,0
Dikembe Mutombo,ATL,5,2015,0
Dikembe Mutombo,ATL,5,2014,0
Dikembe Mutombo,ATL,5,2013,0
Dikembe Mutombo,ATL,5,2012,0
Dikembe Mutombo,ATL,5,2011,0
Dikembe Mutombo,ATL,5,2010,0
Dikembe Mutombo,ATL,5,2009,0
Dikembe Mutombo,ATL,5,2008,0
Dikembe Mutombo,ATL,5,2007,0
Dikembe Mutombo,ATL,5,2006,0
Dikembe Mutombo,ATL,5,2005,0
Dikembe Mutombo,ATL,5,2004,0
Dikembe Mutombo,ATL,5,2003,0
Dikembe Mutombo,ATL,5,2002,0
Dikembe Mutombo,ATL,5,2001,14400000
Dikembe Mutombo,ATL,5,2000,12820249
Dikembe Mutombo,ATL,5,1999,11218000
Dikembe Mutombo,ATL,5,1998,9615187
Dion Glover,ATL,2,2018,0
Dion Glover,ATL,2,2017,0
Dion Glover,ATL,2,2016,0
Dion Glover,ATL,2,2015,0
Dion Glover,ATL,2,2014,0
Dion Glover,ATL,2,2013,0
Dion Glover,ATL,2,2012,0
Dion Glover,ATL,2,2011,0
Dion Glover,ATL,2,2010,0
Dion Glover,ATL,2,2009,0
Dion Glover,ATL,2,2008,0
Dion Glover,ATL,2,2007,0
Dion Glover,ATL,2,2006,0
Dion Glover,ATL,2,2005,0
Dion Glover,ATL,2,2004,1000000
Dion Glover,ATL,2,2003,1584312
Dion Glover,ATL,2,2002,1027440
Dion Glover,ATL,2,2001,960480
Dion Glover,ATL,2,2000,893400
Dion Glover,ATL,2,1999,0
Dion Glover,ATL,2,1998,0
Donta Smith,ATL,2,2018,0
Donta Smith,ATL,2,2017,0
Donta Smith,ATL,2,2016,0
Donta Smith,ATL,2,2015,0
Donta Smith,ATL,2,2014,0
Donta Smith,ATL,2,2013,0
Donta Smith,ATL,2,2012,0
Donta Smith,ATL,2,2011,0
Donta Smith,ATL,2,2010,0
Donta Smith,ATL,2,2009,0
Donta Smith,ATL,2,2008,0
Donta Smith,ATL,2,2007,0
Donta Smith,ATL,2,2006,641748
Donta Smith,ATL,2,2005,425000
Donta Smith,ATL,2,2004,0
Donta Smith,ATL,2,2003,0
Donta Smith,ATL,2,2002,0
Donta Smith,ATL,2,2001,0
Donta Smith,ATL,2,2000,0
Donta Smith,ATL,2,1999,0
Donta Smith,ATL,2,1998,0
Duane Ferrell,ATL,3,2018,0
Duane Ferrell,ATL,3,2017,0
Duane Ferrell,ATL,3,2016,0
Duane Ferrell,ATL,3,2015,0
Duane Ferrell,ATL,3,2014,0
Duane Ferrell,ATL,3,2013,0
Duane Ferrell,ATL,3,2012,0
Duane Ferrell,ATL,3,2011,0
Duane Ferrell,ATL,3,2010,0
Duane Ferrell,ATL,3,2009,0
Duane Ferrell,ATL,3,2008,0
Duane Ferrell,ATL,3,2007,0
Duane Ferrell,ATL,3,2006,0
Duane Ferrell,ATL,3,2005,0
Duane Ferrell,ATL,3,2004,0
Duane Ferrell,ATL,3,2003,0
Duane Ferrell,ATL,3,2002,0
Duane Ferrell,ATL,3,2001,0
Duane Ferrell,ATL,3,2000,1625000
Duane Ferrell,ATL,3,1999,0
Duane Ferrell,ATL,3,1998,0
Ed Gray,ATL,2,2018,0
Ed Gray,ATL,2,2017,0
Ed Gray,ATL,2,2016,0
Ed Gray,ATL,2,2015,0
Ed Gray,ATL,2,2014,0
Ed Gray,ATL,2,2013,0
Ed Gray,ATL,2,2012,0
Ed Gray,ATL,2,2011,0
Ed Gray,ATL,2,2010,0
Ed Gray,ATL,2,2009,0
Ed Gray,ATL,2,2008,0
Ed Gray,ATL,2,2007,0
Ed Gray,ATL,2,2006,0
Ed Gray,ATL,2,2005,0
Ed Gray,ATL,2,2004,0
Ed Gray,ATL,2,2003,0
Ed Gray,ATL,2,2002,0
Ed Gray,ATL,2,2001,0
Ed Gray,ATL,2,2000,0
Ed Gray,ATL,2,1999,832440
Ed Gray,ATL,2,1998,723840
Efthimi Rentzias,ATL,5,2018,0
Efthimi Rentzias,ATL,5,2017,0
Efthimi Rentzias,ATL,5,2016,0
Efthimi Rentzias,ATL,5,2015,0
Efthimi Rentzias,ATL,5,2014,0
Efthimi Rentzias,ATL,5,2013,0
Efthimi Rentzias,ATL,5,2012,0
Efthimi Rentzias,ATL,5,2011,0
Efthimi Rentzias,ATL,5,2010,0
Efthimi Rentzias,ATL,5,2009,0
Efthimi Rentzias,ATL,5,2008,0
Efthimi Rentzias,ATL,5,2007,0
Efthimi Rentzias,ATL,5,2006,0
Efthimi Rentzias,ATL,5,2005,0
Efthimi Rentzias,ATL,5,2004,0
Efthimi Rentzias,ATL,5,2003,0
Efthimi Rentzias,ATL,5,2002,0
Efthimi Rentzias,ATL,5,2001,0
Efthimi Rentzias,ATL,5,2000,658700
Efthimi Rentzias,ATL,5,1999,0
Efthimi Rentzias,ATL,5,1998,0
Elton Brand,ATL,4,2018,0
Elton Brand,ATL,4,2017,0
Elton Brand,ATL,4,2016,0
Elton Brand,ATL,4,2015,0
Elton Brand,ATL,4,2014,4000000
Elton Brand,ATL,4,2013,0
Elton Brand,ATL,4,2012,0
Elton Brand,ATL,4,2011,0
Elton Brand,ATL,4,2010,0
Elton Brand,ATL,4,2009,0
Elton Brand,ATL,4,2008,0
Elton Brand,ATL,4,2007,0
Elton Brand,ATL,4,2006,0
Elton Brand,ATL,4,2005,0
Elton Brand,ATL,4,2004,0
Elton Brand,ATL,4,2003,0
Elton Brand,ATL,4,2002,0
Elton Brand,ATL,4,2001,0
Elton Brand,ATL,4,2000,0
Elton Brand,ATL,4,1999,0
Elton Brand,ATL,4,1998,0
Emanual Davis,ATL,1,2018,0
Emanual Davis,ATL,1,2017,0
Emanual Davis,ATL,1,2016,0
Emanual Davis,ATL,1,2015,0
Emanual Davis,ATL,1,2014,0
Emanual Davis,ATL,1,2013,0
Emanual Davis,ATL,1,2012,0
Emanual Davis,ATL,1,2011,0
Emanual Davis,ATL,1,2010,0
Emanual Davis,ATL,1,2009,0
Emanual Davis,ATL,1,2008,0
Emanual Davis,ATL,1,2007,0
Emanual Davis,ATL,1,2006,0
Emanual Davis,ATL,1,2005,0
Emanual Davis,ATL,1,2004,0
Emanual Davis,ATL,1,2003,824935
Emanual Davis,ATL,1,2002,715850
Emanual Davis,ATL,1,2001,0
Emanual Davis,ATL,1,2000,0
Emanual Davis,ATL,1,1999,0
Emanual Davis,ATL,1,1998,0
Erick Dampier,ATL,5,2018,0
Erick Dampier,ATL,5,2017,0
Erick Dampier,ATL,5,2016,0
Erick Dampier,ATL,5,2015,0
Erick Dampier,ATL,5,2014,0
Erick Dampier,ATL,5,2013,0
Erick Dampier,ATL,5,2012,850522
Erick Dampier,ATL,5,2011,0
Erick Dampier,ATL,5,2010,0
Erick Dampier,ATL,5,2009,0
Erick Dampier,ATL,5,2008,0
Erick Dampier,ATL,5,2007,0
Erick Dampier,ATL,5,2006,0
Erick Dampier,ATL,5,2005,0
Erick Dampier,ATL,5,2004,0
Erick Dampier,ATL,5,2003,0
Erick Dampier,ATL,5,2002,0
Erick Dampier,ATL,5,2001,0
Erick Dampier,ATL,5,2000,0
Erick Dampier,ATL,5,1999,0
Erick Dampier,ATL,5,1998,0
Esteban Batista,ATL,4,2018,0
Esteban Batista,ATL,4,2017,0
Esteban Batista,ATL,4,2016,0
Esteban Batista,ATL,4,2015,0
Esteban Batista,ATL,4,2014,0
Esteban Batista,ATL,4,2013,0
Esteban Batista,ATL,4,2012,0
Esteban Batista,ATL,4,2011,0
Esteban Batista,ATL,4,2010,0
Esteban Batista,ATL,4,2009,0
Esteban Batista,ATL,4,2008,0
Esteban Batista,ATL,4,2007,664209
Esteban Batista,ATL,4,2006,398762
Esteban Batista,ATL,4,2005,0
Esteban Batista,ATL,4,2004,0
Esteban Batista,ATL,4,2003,0
Esteban Batista,ATL,4,2002,0
Esteban Batista,ATL,4,2001,0
Esteban Batista,ATL,4,2000,0
Esteban Batista,ATL,4,1999,0
Esteban Batista,ATL,4,1998,0
Etan Thomas,ATL,5,2018,0
Etan Thomas,ATL,5,2017,0
Etan Thomas,ATL,5,2016,0
Etan Thomas,ATL,5,2015,0
Etan Thomas,ATL,5,2014,0
Etan Thomas,ATL,5,2013,0
Etan Thomas,ATL,5,2012,0
Etan Thomas,ATL,5,2011,1223166
Etan Thomas,ATL,5,2010,0
Etan Thomas,ATL,5,2009,0
Etan Thomas,ATL,5,2008,0
Etan Thomas,ATL,5,2007,0
Etan Thomas,ATL,5,2006,0
Etan Thomas,ATL,5,2005,0
Etan Thomas,ATL,5,2004,0
Etan Thomas,ATL,5,2003,0
Etan Thomas,ATL,5,2002,0
Etan Thomas,ATL,5,2001,0
Etan Thomas,ATL,5,2000,0
Etan Thomas,ATL,5,1999,0
Etan Thomas,ATL,5,1998,0
Glenn Robinson,ATL,3,2018,0
Glenn Robinson,ATL,3,2017,0
Glenn Robinson,ATL,3,2016,0
Glenn Robinson,ATL,3,2015,0
Glenn Robinson,ATL,3,2014,0
Glenn Robinson,ATL,3,2013,0
Glenn Robinson,ATL,3,2012,0
Glenn Robinson,ATL,3,2011,0
Glenn Robinson,ATL,3,2010,0
Glenn Robinson,ATL,3,2009,0
Glenn Robinson,ATL,3,2008,0
Glenn Robinson,ATL,3,2007,0
Glenn Robinson,ATL,3,2006,0
Glenn Robinson,ATL,3,2005,0
Glenn Robinson,ATL,3,2004,0
Glenn Robinson,ATL,3,2003,9860000
Glenn Robinson,ATL,3,2002,0
Glenn Robinson,ATL,3,2001,0
